ID,Paper ID,Title,Authors,Year,Venue,Abstract,DOI,Citation Count,Is Open Access,Score,Matched Keywords,Recommendation,Description,Search Query,Created At,Updated At
102,cd78d7d53f6aa9306097b9e5d1d2015dbd404ad2,0.98(K0.5Na0.5)NbO3–0.02(Bi0.5Na0.5)(Zr0.85Sn0.15)O3 Single Crystals Grown by the Seed-Free Solid-State Crystal Growth Method and Their Characterization,"[{""authorId"": ""117872623"", ""name"": ""Eugenie Uwiragiye""}, {""authorId"": ""40200723"", ""name"": ""T. Pham""}, {""authorId"": ""2108781147"", ""name"": ""Jong-Sook Lee""}, {""authorId"": ""2307834770"", ""name"": ""Byoung-Wan Lee""}, {""authorId"": ""2242515787"", ""name"": ""Jae-Hyeon Ko""}, {""authorId"": ""2254440420"", ""name"": ""John G. Fisher""}]",2024,Ceramics,"(K0.5Na0.5)NbO3-based single crystals are of interest as high-performance lead-free piezoelectric materials, but conventional crystal growth methods have some disadvantages such as the requirement for expensive Pt crucibles and difficulty in controlling the composition of the crystals. Recently, (K0.5Na0.5)NbO3-based single crystals have been grown by the seed-free solid-state crystal growth method, which can avoid these problems. In the present work, 0.98(K0.5Na0.5)NbO3–0.02(Bi0.5Na0.5)(Zr0.85Sn0.15)O3 single crystals were grown by the seed-free solid-state crystal growth method. Sintering aids of 0.15 mol% Li2CO3 and 0.15 mol% Bi2O3 were added to promote single crystal growth. Pellets were sintered at 1150 °C for 15–50 h. Single crystals started to appear from 20 h. The single crystals grown for 50 h were studied in detail. Single crystal microstructure was studied by scanning electron microscopy of the as-grown surface and cross-section of the sample and revealed porosity in the crystals. Electron probe microanalysis indicated a slight reduction in K and Na content of a single crystal as compared to the nominal composition. X-ray diffraction shows that the single crystals contain mixed orthorhombic and tetragonal phases at room temperature. Raman scattering and impedance spectroscopy at different temperatures observed rhombohedral–orthorhombic, orthorhombic–tetragonal and tetragonal–cubic phase transitions. Polarization–electric field (P–E) hysteresis loops show that the single crystal is a normal ferroelectric material with a remanent polarization (Pr) of 18.5 μC/cm2 and a coercive electrical field (Ec) of 10.7 kV/cm. A single crystal presents d33 = 362 pC/N as measured by a d33 meter. Such a single crystal with a large d33 and high Curie temperature (~370 °C) can be a promising candidate for piezoelectric devices.",10.3390/ceramics7030055,2,1,385,"{""single crystal"": 80, ""crystal growth"": 75, ""grown by"": 70, ""crystals were grown"": 80, ""single crystals were grown"": 80}",必须下载,强烈实验论文,crystal growth method,2025-09-15 16:28:49,2025-09-16 00:28:49.439482
83,358469c67fcf5ed0fd5641e0b6a36413b8cae525,Refined Synthesis and Single Crystal Growth of PbGa2Se4 by Chemical Vapor Transport Method for Photodetection,"[{""authorId"": ""2106516449"", ""name"": ""Leilei Ji""}, {""authorId"": ""49574268"", ""name"": ""B. Xiao""}, {""authorId"": ""35283473"", ""name"": ""Z. Yin""}, {""authorId"": ""73505155"", ""name"": ""Qihao Sun""}, {""authorId"": ""2170671816"", ""name"": ""Yadong Xu""}, {""authorId"": ""2257854691"", ""name"": ""Wanqi Jie""}]",2024,Crystal research and technology (1981),"Ternary chalcogenide PbGa2Se4 with high resistivity, photosensitivity, and excellent nonlinear properties, exhibits a potential application in optoelectronic and nonlinear optical devices. However, the preparation of large‐sized pure PbGa2Se4 crystals is challenging due to the presence of peritectic reaction L+α(Ga2Se3)→PbGa2Se4${\mathrm{L}} + {{\alpha}}( {G{a}_2S{e}_3} ) \to PbG{a}_2S{e}_4$ and a narrow homogeneity region. Here, a “quenching‐annealing” method (quenching at 850 °C in ice water, and then annealing at 650 °C for 250 h by reheating) is developed to eliminate the PbSe second phase during the synthesis. Subsequently, the PbGa2Se4 single crystals are successfully grown using chemical vapor transport (CVT) with the I2 as the transport agent. The resulting crystal exhibits the crystal structure belonging to Fddd space group with the lattice parameters of a = 12.7192 Å, b = 21.2831 Å, and c = 21.5226 Å. Additionally, it possesses a wide bandgap (≈2.26 eV), high resistivity (6.59 × 1012 Ω·cm), and defect density calculated via space charge limited current measurement (SCLC) as 2.46 × 1011 cm−3. Photodetectors based on these as‐grown crystals demonstrate exceptional photosensitivity along with a high detectivity (3.2 × 108 Jones).",10.1002/crat.202300276,2,0,318,"{""single crystal"": 80, ""crystal growth"": 75, ""chemical vapor transport"": 80, ""by chemical vapor transport"": 80, ""crystal structure"": 3}",必须下载,强烈实验论文,chemical vapor transport,2025-09-15 16:26:18,2025-09-16 00:26:18.958391
85,25be105c0f805c92070f712352d78ffd8a600908,Selenophosphate Pb2P2Se6 Single Crystals Growth by Chemical Vapor Transport (CVT) Method for Radiation Detection.,"[{""authorId"": ""2106516449"", ""name"": ""Leilei Ji""}, {""authorId"": ""35283473"", ""name"": ""Z. Yin""}, {""authorId"": ""49574268"", ""name"": ""B. Xiao""}, {""authorId"": ""2275455428"", ""name"": ""Bangzhi Ge""}, {""authorId"": ""2294026246"", ""name"": ""Yadong Xu""}, {""authorId"": ""2257854691"", ""name"": ""Wanqi Jie""}]",2024,ChemPhysChem,"The heavy metal selenophosphate Pb2P2Se6emerges as a promising room-temperature X-ray/γ-ray detectors due to its high resistivity, robust radiation-blocking capability, and outstanding carrier mobility-lifetime product, etc. However, the high activity of phosphides poses significant impediment to the synthesis and single crystal growth. In this work, we have prepared high-quality Pb2P2Se6 single crystals with using the chemical vapor transport (CVT) method. The XRD analysis combined with EDS result confirmed the uniform composition of the resulting as-grown single crystals, while UV-Vis-NIR transmittance spectra revealed the bandgap of 1.89 eV. Selected area electron diffraction patterns indicated the crystal belonged to the P21/c(14) space group. Additionally, the Au/Pb2P2Se6/Au device is fabricated, which exhibits a robust X-ray response with a sensitivity of 648.61 μC·Gy-1·cm-2 at 400 V·mm-1 under 50 kVp. Notably, the device also excels in alpha particle detection, boasting a resolution of ~14.48% under a bias of 400 V bias. The hole mobility-lifetime product (µτ)h of Pb2P2Se6 is estimated to be ~2.58×10-5 cm2·V-1. The results underscore potential applications of Pb2P2Se6 crystal is in the field of the semiconductor radiation detectors.",10.1002/cphc.202400149,1,0,315,"{""single crystal"": 80, ""crystal growth"": 75, ""chemical vapor transport"": 80, ""by chemical vapor transport"": 80}",必须下载,强烈实验论文,chemical vapor transport,2025-09-15 16:26:22,2025-09-16 00:26:22.968894
89,d5e209a562170ec04213247717624686e1972d15,Determination of the criterion for the morphological classification of etching pits formed in InSb single crystals grown by the Czochralski method in the crystallographic direction [111] and doped with tellurium,"[{""authorId"": ""2233854061"", ""name"": ""N. Y. Komarovsky""}, {""authorId"": ""2141823548"", ""name"": ""E. O. Zhuravlev""}, {""authorId"": ""82727697"", ""name"": ""E. V. Molodtsova""}, {""authorId"": ""2201162714"", ""name"": ""A. V. Kudrya""}, {""authorId"": ""1995002973"", ""name"": ""R. Kozlov""}, {""authorId"": ""2313660198"", ""name"": ""A. G. Belov""}, {""authorId"": ""2091237008"", ""name"": ""S. S. Kormilitsina""}]",2024,Industrial laboratory Diagnostics of materials,"The method of selective etching is used to assess the structural imperfection (dislocation density) of single crystals in production conditions due to high informativity and rather low labor consumption. However, the interpretation of the data obtained may differ depending on the choice of the type of regulatory documentation. We present the results of determining the criterion of morphological classification of etch pits using digital image processing. InSb (111) single crystals grown by the Czochralski method and doped with tellurium were analyzed. It was found by the method of sequential selective etching that the island-shaped pits on the surface of InSb (111), are highly likely to be dislocation in nature, regardless of their size. In turn, the clusters of pits of «regular» shape, disappearing in the course of repeated etching, probably arise in the places where point defects come to the surface and are not associated with the formation of Lomer-Cottrell barriers or other dislocation clusters. A criterion for differentiation of etching pits by determining the value of the average pixel intensity is proposed on the basis of brightness field analysis. The results obtained can be used in manufacturing structures for matrix and linear photodetectors, as well as in optimizing process parameters of the single crystal growth by the Czochralski method.",10.26896/1028-6861-2024-90-7-32-39,0,0,300,"{""single crystal"": 80, ""crystal growth"": 75, ""grown by"": 70, ""Czochralski method"": 75}",必须下载,强烈实验论文,Czochralski method,2025-09-15 16:26:57,2025-09-16 00:26:57.629590
87,7401759359e741b2f03eeb4b03f22f76130b7c33,Solid‐Solution Limits and Thorough Characterization of Bulk β‐(AlxGa1‐x)2O Single Crystals Grown by the Czochralski Method,"[{""authorId"": ""48385520"", ""name"": ""Z. Galazka""}, {""authorId"": ""2252416039"", ""name"": ""A. Fiedler""}, {""authorId"": ""39893700"", ""name"": ""A. Popp""}, {""authorId"": ""1397151094"", ""name"": ""Palvan Seyidov""}, {""authorId"": ""92497330"", ""name"": ""S. B. Anooz""}, {""authorId"": ""2264971667"", ""name"": ""Roberts Blukis""}, {""authorId"": ""2146785300"", ""name"": ""Jana Rehm""}, {""authorId"": ""47620933"", ""name"": ""K. Tetzner""}, {""authorId"": ""91897047"", ""name"": ""Mike Pietsch""}, {""authorId"": ""2306928778"", ""name"": ""Andrea Dittmar""}, {""authorId"": ""2307059940"", ""name"": ""Steffen Ganschow""}, {""authorId"": ""2266911424"", ""name"": ""A. Akhtar""}, {""authorId"": ""2250225384"", ""name"": ""Thilo Remmele""}, {""authorId"": ""2249126761"", ""name"": ""Martin Albrecht""}, {""authorId"": ""2291295996"", ""name"": ""Tobias Schulz""}, {""authorId"": ""10723808"", ""name"": ""Ta\u2010Shun Chou""}, {""authorId"": ""2260786020"", ""name"": ""Albert Kwasniewski""}, {""authorId"": ""2162306550"", ""name"": ""Manuela Suendermann""}, {""authorId"": ""2303914145"", ""name"": ""T. Schroeder""}, {""authorId"": ""14114230"", ""name"": ""M. Bickermann""}]",2024,Advanced Materials Interfaces,"With comprehensive crystal growth experiments of β‐(AlxGa1‐x)2O3 by the Czochralski method this work concludes a maximum [Al] = 40 mol% (35 mol% in the melt) that can be incorporated into β‐Ga2O3 crystal lattice while keeping single crystalline and monoclinic phase, resulting in the formula of β‐(Al0.4Ga0.6)2O3. Transmission Electron Microscopy (TEM) analysis reveals random distribution of Al across both octahedral and tetrahedral sites. This work has shown, that incorporation of only [Ga] ≥ 5 mol% into α‐Al2O3 crystals leads to a phase separation of (α + θ)‐Al2O3. With electrical measurements this work proves an increase of the electrical resistivity of β‐(AlxGa1‐x)2O3:Mg as compared to β‐Ga2O3:Mg. The static dielectric constant and refractive index both decrease with [Al]. Raman spectra shows a continuous shift and broadening of the peaks, with the low energy optical phonons Ag(3) having a large contribution to a decrease in the electron mobility. Further, Ir incorporation into the crystals decreases with [Al], wherein Ir4+ Raman peak disappears already at [Al] ≥ 15 mol%. Finally, thermal conductivity measurements on β‐(AlxGa1‐x)2O3 crystals show a drastic decrease of its values with [Al], to about 1/3 of the β‐Ga2O3 value at [Al] = 30 mol%.",10.1002/admi.202400122,4,1,300,"{""single crystal"": 80, ""crystal growth"": 75, ""grown by"": 70, ""Czochralski method"": 75}",必须下载,强烈实验论文,Czochralski method,2025-09-15 16:26:53,2025-09-16 00:26:53.615775
78,7d4e9d3c3cc1d4686671d12dc9998c9e20101774,Numerical simulation of temperature gradient effects on gallium nitride crystal growth by sodium-flux method,"[{""authorId"": ""2287802078"", ""name"": ""Wenxiao Wu""}, {""authorId"": ""2185327850"", ""name"": ""Ronglin Pan""}, {""authorId"": ""2287835147"", ""name"": ""Rui Yang""}, {""authorId"": ""2287524247"", ""name"": ""Jineng Yao""}, {""authorId"": ""52190505"", ""name"": ""Mingbin Zhou""}, {""authorId"": ""52136674"", ""name"": ""Zhihua Xiong""}]",2024,The Physics of Fluids,"During the growth of gallium nitride single crystals by sodium-flux method, temperature significantly impacts crystal quality. In this study, the mechanism of the effect of different temperature gradients on crystal growth is analyzed in depth using a combination of numerical simulation and experiment. The experimental results show that epitaxial growth of crystals occurs under positive temperature gradient conditions, while there is dissolution of seed crystals under negative temperature gradient conditions. The temperature, flow, and concentration data of the melted material during crystal growth were calculated using numerical simulation. The simulation findings reveal that the distribution of solution supersaturation varies according to temperature. High supersaturation at the bottom of the melt is favorable for crystal epitaxial growth on the surface of seed crystals under a positive temperature gradient. Meanwhile, low supersaturation at the top of the melt suppresses the hard polycrystalline layer here. Under negative temperature gradient conditions, low supersaturation at the bottom of the melt may lead to remelting of seed crystals, which is consistent with the experimental phenomenon. Furthermore, we propose an optimized heat source profile. This profile manages high supersaturation near seed crystals, aiding continuous growth. Finally, we have applied the curve in an applied way by proposing a multi-stage heating device, based on which the desired arbitrary temperature profile can be modulated. This research has broad applications in a variety of crystal growth experiments using fluid as the mother phase.",10.1063/5.0187946,4,1,238,"{""single crystal"": 80, ""crystal growth"": 75, ""flux method"": 80, ""crystal quality"": 3}",必须下载,强烈实验论文,flux method crystal,2025-09-15 16:25:42,2025-09-16 00:25:42.533995
91,f7742abb1f9bcff7af4cc68269b62769badcefe8,Study on the vertical Bridgman method of melt-grown CsPbBr3 single crystals for nuclear radiation detection.,"[{""authorId"": ""2260597197"", ""name"": ""Mingzhi Zhang""}, {""authorId"": ""2273393709"", ""name"": ""Chentao Huang""}, {""authorId"": ""2189240712"", ""name"": ""Guotu Xia""}, {""authorId"": ""2272997193"", ""name"": ""Juan Liu""}, {""authorId"": ""2189242784"", ""name"": ""Fang Tian""}, {""authorId"": ""2265463108"", ""name"": ""Jijun Zou""}, {""authorId"": ""2272897274"", ""name"": ""Bin Tang""}]",2024,"Acta Crystallographica. Section B: Structural Science, Crystal Engineering and Materials","As an excellent representative of all-inorganic perovskite materials, CsPbBr3 has been widely used in high-energy rays or high-energy particles detection for its outstanding high carrier mobility and long diffusion length. The great challenges and opportunities in these fields are crystal growth technology, especially the high-quality and large-sized CsPbBr3 single crystals. In this work, the influences of growth parameters (temperature gradient, growth rate, cooling rate) and thermal stress by the vertical Bridgman method on the quality and performance of CsPbBr3 crystals are systematically studied. The final results show that 10°C cm-1 is the optimized temperature gradient and 0.5 mm h-1 is the suitable growth rate for CsPbBr3 crystal growth. The study also shows that a cooling rate of 10°C h-1 for the general temperature interval and 1°C h-1 for the phase transition temperature interval is helpful to balance crystal growth efficiency as well as crystal quality. Crystal cracks caused by thermal stress as well as crystal adhesion on the ampoule can be effectively solved by depositing a uniform carbon film on the ampoule in advance. The optical, electrical and detection performance are also investigated. The optical characterization in the wavelength region ranging from ultraviolet to infrared indicates the crystal has a low density of deep-level defects and good crystal quality. The resistivity over 109 Ω cm and μτ of electrons over 10-2 cm-2 V-1 proves that the electrical performance of the crystal has met the basic requirement for nuclear radiation detection. The metal-semiconductor-metal structure Ti/Ni/CsPbBr3/Ni/Ti detector fabricated from the optimized CsPbBr3 single crystal has an energy resolution of 12.85% (137Cs, 662 keV). The purpose of this work is to provide a useful guide and reference for the future exploration of repeatable and improvable CsPbBr3 crystal growth technology.",10.1107/S2052520624000398,2,0,233,"{""single crystal"": 80, ""crystal growth"": 75, ""Bridgman method"": 75, ""crystal quality"": 3}",必须下载,强烈实验论文,Bridgman method,2025-09-15 16:27:08,2025-09-16 00:27:08.013335
79,a1f08612e7ee38fff1842e3cd939724395b3fc04,Crystal Morphologic Design of Na-Layered Oxide Crystals by Automated High-Throughput Flux Method Experiments,"[{""authorId"": ""2336433262"", ""name"": ""Yusaku Shimizu""}, {""authorId"": ""2107812162"", ""name"": ""T. Yamada""}, {""authorId"": ""2336387926"", ""name"": ""Kazumichi Yanagisawa""}, {""authorId"": ""96141333"", ""name"": ""Mongkol Tipplook""}, {""authorId"": ""47264177"", ""name"": ""Fumitaka Hayashi""}, {""authorId"": ""4939248"", ""name"": ""Katsuya Teshima""}]",2024,ECS Meeting Abstracts,"Na
 x
 CoO2 (NCO), a type of sodium layered oxide, has attracted attention as a cathode material for sodium ion batteries (SIB). The P2-type NCO has a layered structure and is generally obtained as plate-like crystals. Crystal growth of high aspect ratio NCO would be desirable to improve output density. The flux method, which is a liquid-phase method using flux (molten salt) as a solvent, is a crystal growth method that can control the crystal plane. However, in the case of NCO crystal growth, the specific effects of the flux species have not been clarified. In addition, NCO has several phases (O3, P2, P'3, etc.), depending on the Na ratio. However, fluxes easily change the Na ratio in the reaction field. For this reason, experimental guidelines for crystal control cannot be established, and trial and error must be used. The experimental search space considered by the flux method is enormous, with at least 14,000 possible experimental search spaces (three levels of raw material species and heating temperatures, nine raw material Na:Co ratios, 18 flux species and even two-component mixtures are allowed), making an exhaustive search unrealistic. To overcome this issue, it would be necessary to develop a crystal phase diagram expressing the crystal polymorphism and aspect ratio. For this purpose, identification of fluxes effective for P2 phase formation and aspect ratio changes was carried out using a data-driven, wide-area experimental search.
 For the data-driven exploration, flux method experiments was conducted using the high-throughput flux method screening (HTFS) system, which was originally developed in our laboratory. In the experiments, the initial training data was collected using a grid search method, and applied to a Bayesian optimization system. In this time, regression model was constructed using the feature values extracted from X-ray diffraction (XRD) patterns as the objective variables and the experimental conditions as the explanatory variables.
 About 50 experimental data were collected in a grid search using the HTFS. The formation of P2-type NCO crystals was confirmed in more than half of the samples. However, diffraction lines originating from the impurity Co3O4 were observed in some samples, confirming the strong dependence of the product on the experimental conditions. Data-driven experiments were then undertaken. A total of about 30 experiments were carried out, and in many cases P2-type crystal samples were obtained using Na-based fluxes. In addition, the aspect ratio depended on the flux species and barrel-type crystal morphology was grown in some Na-based fluxes. In this presentation, the mechanism of flux contribution to crystal growth is discussed in terms of solute-solvent interaction and surface energy.
 Acknowledgement
 This work was partly supported by the Strategic Innovation Program (SIP) of the Cabinet Office, and joint research with companies.",10.1149/ma2024-023403mtgabs,0,0,233,"{""crystal growth"": 75, ""flux method"": 80, ""using flux"": 75, ""crystal morphology"": 3}",必须下载,强烈实验论文,flux method crystal,2025-09-15 16:25:44,2025-09-16 00:25:44.541548
93,19f69b4e7f7a9d2ffad3c4fe8f734428faab2264,Two-inch Fe-doped β-Ga2O3 (010) substrates prepared using vertical Bridgman method,"[{""authorId"": ""2048061035"", ""name"": ""Yuki Ueda""}, {""authorId"": ""7847074"", ""name"": ""T. Igarashi""}, {""authorId"": ""50690450"", ""name"": ""K. Koshi""}, {""authorId"": ""2544643"", ""name"": ""S. Yamakoshi""}, {""authorId"": ""16625521"", ""name"": ""K. Sasaki""}, {""authorId"": ""2129307468"", ""name"": ""A. Kuramata""}]",2023,Japanese Journal of Applied Physics,"The growth of large-diameter high-resistivity β-Ga2O3 (010) substrates is important for the low-cost production of lateral Ga2O3 devices. We grew a 2 inch diameter Fe-doped high-resistivity β-Ga2O3 (010) single crystal by using the vertical Bridgman (VB) method, which is expected to grow large-diameter β-Ga2O3 crystals with various crystal orientations. Two-inch substrates were prepared from the obtained crystals, and their crystallinity, concentration of Fe dopants, and electrical properties were investigated. Consequently, a 2 inch β-Ga2O3 (010) substrate, which is comparable to the largest size of (010) substrate prepared using the Czochralski method, was successfully fabricated with the VB method. The in-plane distribution of the X-ray rocking curve from 020 diffraction of the fabricated 2 inch substrate showed that the full widths at half maximums were less than 35 arcsec at almost all measurement points, indicating high crystallinity and high in-plane uniformity. In addition, the crystals contain Fe concentrations in the range of 3.5 × 1018–1.9 × 1019 cm−3, indicating that impurity Si donors are sufficiently compensated by the Fe dopants. Therefore, substrates prepared using the VB method exhibited high resistivities of 6 × 1011–9 × 1012 Ω·cm at room temperature.",10.35848/1347-4065/acb55a,29,1,230,"{""single crystal"": 80, ""Czochralski method"": 75, ""Bridgman method"": 75}",必须下载,强烈实验论文,Bridgman method,2025-09-15 16:27:12,2025-09-16 00:27:12.027435
105,ebda042b8c8708dbcdb7156d4d5700c71737c66c,Growth and enhanced electrical properties of PIN-PMN-PT piezoelectric single crystal grown by the solid-state crystal growth method,"[{""authorId"": ""2016561306"", ""name"": ""Honghui Wang""}, {""authorId"": ""2242624846"", ""name"": ""Wenjing Shang""}, {""authorId"": ""2244166748"", ""name"": ""Ming Ma""}, {""authorId"": ""2075412087"", ""name"": ""Song Xia""}, {""authorId"": ""2243363254"", ""name"": ""Zhenrong Li""}]",2023,Journal of the European Ceramic Society,,10.1016/j.jeurceramsoc.2023.09.031,8,0,225,"{""single crystal"": 80, ""crystal growth"": 75, ""grown by"": 70}",必须下载,强烈实验论文,crystal growth method,2025-09-15 16:28:55,2025-09-16 00:28:55.457897
